Business Name,Business Startdate,City,State,Street Direction,Street Name,Street Number,Street Suffix,Zip,Business Class,Reason for Applying,Latitude,Longitude,Location
SHAWMUT DESIGN & CONSTRUCTION,02/01/2003,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
EMPLOYMENT PLUS,10/22/2013,CHATTANOOGA,TN,,LEE,6025,HWY,37421,,1 - New Business,35.0284604080001,-85.1921890099999,"(35.0284604080001, -85.1921890099999)"
TIENDA QUETZAL,05/30/2008,CHATTANOOGA,TN,E,23RD,1303,ST,37404,,1 - New Business,,,
MOVIN ON ESTATE SALES,07/18/2012,CHATTANOOGA,TN,,HIXSON,1508,PIKE,37405,,1 - New Business,35.076227718,-85.287981121,"(35.076227718, -85.287981121)"
RUSSO COROPORATION,03/15/2012,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
GREAT SOUTHERN VENTURES LLC,01/01/2015,CHATTANOOGA,TN,,GUNBARREL,2288,RD,37421,,1 - New Business,35.0366813150001,-85.1501846899999,"(35.0366813150001, -85.1501846899999)"
A & D GLOBAL SUPPLY,02/06/2006,CHATTANOOGA,TN,E,28TH,2305,ST,37407,,1 - New Business,,,
GET STARTED LLC,01/01/2016,CHATTANOOGA,TN,,MARKET,1100,ST,37402,,1 - New Business,35.0436263,-85.309080095,"(35.0436263, -85.309080095)"
TENNESSEE RIVER GORGE EXPLORER,06/27/2008,CHATTANOOGA,TN,,BROAD,1,ST,37402,,1 - New Business,35.0558498890001,-85.3110255249999,"(35.0558498890001, -85.3110255249999)"
BULE MOON CRUISES,06/21/2007,CHATTANOOGA,TN,,RIVERFRONT,201,PKWY,37402,,1 - New Business,35.055263585,-85.3170326979999,"(35.055263585, -85.3170326979999)"
CVS/PHARMACY #5687,04/01/1998,CHATTANOOGA,TN,,HIXSON,1150,PIKE,37405,,1 - New Business,,,
JAY FOOD MARKET #101,02/07/2007,CHATTANOOGA,TN,,SHALLOWFORD,6800,RD,37421,,1 - New Business,35.0459128190001,-85.1660979279999,"(35.0459128190001, -85.1660979279999)"
LAKESITE HEATING REFRIGERATION & AC,04/20/1987,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
SODEXO AT SISKIN HOSPITAL,08/20/1997,CHATTANOOGA,TN,,SISKIN PLAZA,1,,37403,,1 - New Business,,,
MOTION DANCE CENTER LLC,07/12/2012,CHATTANOOGA,TN,,EAST BRAINERD,6574,RD,37421,,1 - New Business,,,
SERVICE MONSTER,01/01/2015,CHATTANOOGA,TN,,CREEKSIDE,900,RD,37406,,1 - New Business,35.0914396260001,-85.255176509,"(35.0914396260001, -85.255176509)"
UINTED RENEWABLE ENERGY LLC,03/12/2012,ALPHARETTA,GA,,SHILOH,5895,RD,30005,,1 - New Business,,,
NORTHSHORE LUNCH,05/01/2013,CHATTANOOGA,TN,,FRAZIER,207,AVE,37405,,1 - New Business,35.0624717900001,-85.306225465,"(35.0624717900001, -85.306225465)"
VOODOO CLIMBING LLC,10/14/2013,CHATTANOOGA,TN,,DAYTON,5955,PIKE,37415,,1 - New Business,,,
ONIN STAFFING LLC,09/01/2011,CHATTANOOGA,TN,,SHALLOWFORD,6925,RD,37421,,1 - New Business,35.044683918,-85.160269034,"(35.044683918, -85.160269034)"
DRAGON DREAMS MUSEUM INC,01/30/2015,CHATTANOOGA,TN,,RIVER,181,ST,37405,,1 - New Business,35.0620762120001,-85.30722149,"(35.0620762120001, -85.30722149)"
QUICKSIGNS,11/19/2007,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
"MARLER, BUD & SONS CONSTRUCTION",12/10/1997,CHATTANOOGA,TN,,WEST VIEW,623,RD,37415,,1 - New Business,,,
HAWKS PROPERTY MANAGEMENT & ACCOUNTING SERVICES,03/01/2013,CHATTANOOGA,TN,,GEORGIA,832,AVE,37402,,1 - New Business,35.0458132800001,-85.3080742829999,"(35.0458132800001, -85.3080742829999)"
"D.H. GRIFFIN WRECKING COMPANY, INC",08/20/2015,CHATTANOOGA,TN,,VARIOUS LOCATIONS,,,37402,,1 - New Business,,,
LANGFORD DRYWALL,05/20/2013,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
LAWSON AUCTION SERVICE,03/01/1993,HIXSON,TN,,WILBANKS,5393,DR,37343,,1 - New Business,35.1416804130001,-85.2329597249999,"(35.1416804130001, -85.2329597249999)"
PETERSON INDUSTRIAL INC,03/07/2011,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
L & M CLEANING SERVICES,08/03/1997,CHATTANOOGA,TN,,VARIOUS LOCATIONS,999,,37402,,1 - New Business,,,
BURNETTES CLEANING SERVICE,01/14/2008,CHATTANOOGA,TN,,FAXON,2801,ST,37404,,1 - New Business,35.0135330040001,-85.289537574,"(35.0135330040001, -85.289537574)"
ALAN IKE CONSTRUCTION LLC,08/19/2013,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
G & R LOGISTICS,08/05/2010,CHATTANOOGA,TN,,BONNY OAKS,4715,DR,37416,,1 - New Business,35.0765018270001,-85.195936925,"(35.0765018270001, -85.195936925)"
M & M PROFESSIONAL CLEANING SERVICES,05/08/2015,CHATTANOOGA,TN,E,BRAINERD,6574,RD,37421,,1 - New Business,,,
SPRAYLOCK CONCRETE PROTECTION LLC,07/01/2010,CHATTANOOGA,TN,,SHALLOWFORD,5959,RD,37421,,1 - New Business,35.0553324900001,-85.194309735,"(35.0553324900001, -85.194309735)"
CAPITAL TOYOTA INC,,CHATTANOOGA,TN,,LEE,5808,HWY,37421,,1 - New Business,35.0203450010001,-85.200527651,"(35.0203450010001, -85.200527651)"
"CLAYMERICA, LLC",04/01/2014,HIXSON,TN,,POLLYANA,6714,LN,37343,,1 - New Business,35.1676419680001,-85.193746301,"(35.1676419680001, -85.193746301)"
J B OUTDOORS,12/13/2005,HIXSON,TN,,LYLE,5750,CIR,37343,,1 - New Business,35.1574352230001,-85.2507349479999,"(35.1574352230001, -85.2507349479999)"
PINION HEATING & A/C CO,,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
ACCESS & MOBILITY INC,07/16/2015,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
ERLANGER PHARMACY,08/01/1996,CHATTANOOGA,TN,E,3RD,979,ST,37403,,1 - New Business,,,
